city,type
carrot river,Rural
central butte,Rural
lanigan,Rural
craik,Rural
moose jaw,Urban
cudworth,Cumberland House
cupar,Rural
cut knife,Rural
swift current,Urban
dalmeny,Rural
delisle,Rural
dinsmore,Rural
fort qu'appelle,Rural
elrose,Rural
estevan,Urban
eston,Rural
ponteix,Rural
oxbow,Rural
wynyard,Rural
duck lake,Rural
rockglen,Rural
grenfell,Rural
gull lake,Rural
hafford,Rural
prince albert,Urban
hodgeville,Rural
debden,Rural
saskatoon,Urban
invermay,Rural
kinistino,Rural
kamsack,Rural
kelvington,Rural
kerrobert,Rural
kipling,Rural
kyle,Rural
la loche,Rural
saltcoats,Rural
wakaw,Rural
lampman,Rural
langham,Rural
strasbourg,Rural
leader,Rural
leoville,Rural
leroy,Rural
imperial,Rural
watrous,Rural
maryfield,Rural
melfort,Urban
rosthern,Rural
stoughton,Rural
nokomis,Rural
norquay,Rural
wadena,Rural
preeceville,Rural
quill lake,Rural
radville,Rural
redvers,Rural
rosetown,Rural
shellbrook,Rural
maple creek,Rural
spalding,Rural
spiritwood,Rural
macklin,Rural
humboldt,Urban
melville,Urban
unity,Rural
vanguard,Rural
weyburn,Urban
leask,Rural
canwood,Rural
wilkie,Rural
willow bunch,Rural
yorkton,Urban
whitehorse,Urban
dawson city,Rural
watson lake,Rural
la tuque,Urban
mont-laurier,Rural
saint-antonin,Rural
matane,Urban
alma,Rural
lévis,Urban
havre-saint-pierre,Rural
chibougamau,Rural
lebel-sur-quévillon,Rural
matagami,Rural
maniwaki,Rural
granby,Urban
terrebonne,Urban
trois-pistoles,Rural
l'assomption,Urban
les îles-de-la-madeleine,Rural
maria,Rural
lachute,Urban
saint-antoine-sur-richelieu,Rural
beaconsfield,Urban
chambly,Urban
sorel-tracy,Urban
ham-nord,Rural
saint-georges,Urban
trois-rivières,Urban
charlottetown,Urban
saint-pacôme,Rural
saint-pascal,Rural
saint-louis-du-ha! ha!,Rural
warwick,Rural
summerside,Urban
east angus,Rural
weedon,Rural
fortierville,Rural
saint-pierre-les-becquets,Rural
baie-saint-paul,Urban
rosemère,Urban
rivière-du-loup,Urban
la prairie,Urban
châteauguay,Urban
saint-rémi,Rural
les bergeronnes,Rural
saint-apollinaire,Rural
saint-hyacinthe,Urban
ville-marie,Urban
saint-gervais,Rural
saint-raphaël,Rural
princeville,Rural
lyster,Rural
chandler,Rural
brossard,Urban
longueuil,Urban
fermont,Rural
mansfield-et-pontefract,Rural
val-d'or,Urban
amos,Rural
mount herbert,Rural
thetford mines,Urban
east broughton,Rural
chapais,Rural
disraeli,Rural
saint-félicien,Rural
saint-jérôme,Urban
saint-fabien-de-panet,Rural
farnham,Urban
sutton,Rural
saint-eustache,Urban
saint-gabriel-de-brandon,Rural
new carlisle,Rural
dorval,Urban
saint-michel-des-saints,Rural
saint-donat,Rural
alberton,Rural
gracefield,Rural
cap-chat,Rural
chisasibi,Rural
mont-tremblant,Urban
notre-dame-du-nord,Rural
rimouski,Urban
varennes,Urban
crapaud,Rural
rivière-rouge,Rural
boucherville,Urban
hunter river,Rural
lac-étchemin,Rural
mascouche,Urban
montague,Rural
les escoumins,Rural
morell,Rural
forestville,Rural
souris,Rural
magog,Urban
lac-mégantic,Urban
notre-dame-des-anges,Rural
sainte-thérèse,Urban
huntingdon,Rural
asbestos,Rural
marieville,Urban
coaticook,Rural
salaberry-de-valleyfield,Urban
acton vale,Rural
rigaud,Rural
senneterre,Rural
nicolet,Rural
clyde river,Rural
o'leary,Rural
kensington,Rural
wellington,Rural
miscouche,Rural
eldon,Rural
margate,Rural
tignish,Rural
north rustico,Rural
saint-raymond,Rural
saint-constant,Rural
berthierville,Rural
westmount,Urban
beaupré,Rural
deux-montagnes,Rural
saint-cyprien,Rural
cleveland,Rural
saint-augustin-de-desmaures,Urban
l'islet,Rural
sainte-péprétue,Rural
beloeil,Urban
potton,Rural
saint-lambert,Urban
malartic,Rural
pont-rouge,Rural
louiseville,Rural
sainte-catherine,Urban
témiscaming,Rural
puvirnituq,Rural
plessisville,Rural
shawville,Rural
blainville,Urban
sept-îles,Urban
saint-sauveur,Urban
sainte-adèle,Rural
coteau-du-lac,Rural
sainte-élisabeth,Rural
joliette,Urban
saint-césaire,Rural
la malbaie,Rural
vaudreuil-dorion,Urban
sainte-anne-des-monts,Rural
roberval,Urban
sainte-anne-de-bellevue,Urban
kahnawake,Urban
charlemagne,Rural
montmagny,Rural
mashteuiatsh,Rural
la sarre,Rural
l'île-perrot,Urban
beauharnois,Urban
pohénégamook,Rural
saint-michel-de-bellechasse,Rural
saint-flavien,Rural
sainte-croix,Rural
lac-au-saumon,Rural
wendake,Urban
mont-royal,Urban
labelle,Rural
donnacona,Rural
saint-marc-des-carrières,Rural
saint-casimir,Rural
saint-liguori,Rural
saint-lin--laurentides,Rural
saint-jacques,Rural
saint-pierre-de-l'île-d'orléans,Rural
saint-bruno-de-montarville,Urban
saint-isidore,Rural
sainte-hénédine,Rural
richmond,Urban
clermont,Rural
mirabel,Urban
paspébiac,Rural
mont-joli,Urban
boisbriand,Urban
la pocatière,Rural
grande-vallée,Rural
murdochville,Rural
témiscouata-sur-le-lac,Rural
rivière-ouelle,Rural
port-cartier,Urban
blanc-sablon,Rural
