odhf_facility_type,latitude,longitude,facility_category
Nursing and residential care facilities,46.05163944,-60.20140324,Specialized Care & Support Services
Nursing and residential care facilities,44.9797639,-64.12698544,Long-Term & Chronic Care
Nursing and residential care facilities,45.85652617,-63.65756956,Long-Term & Chronic Care
Ambulatory health care services,45.08760375,-64.37074372,Community & Primary Care
Nursing and residential care facilities,45.2580136,-63.2772736,Long-Term & Chronic Care
Nursing and residential care facilities,45.07629159,-64.54005837,Long-Term & Chronic Care
Hospitals,44.382276,-64.326952,Long-Term & Chronic Care
Nursing and residential care facilities,44.18382208,-66.1695472,Specialized Care & Support Services
Nursing and residential care facilities,46.6235201,-61.0165357,Long-Term & Chronic Care
Nursing and residential care facilities,45.82493255,-64.18951872,Long-Term & Chronic Care
Nursing and residential care facilities,44.66571626,-63.53063283,Long-Term & Chronic Care
Nursing and residential care facilities,45.57493525,-62.6439357,Long-Term & Chronic Care
Nursing and residential care facilities,45.03538522,-64.72859639,Long-Term & Chronic Care
Nursing and residential care facilities,44.98638355,-64.12037375,Long-Term & Chronic Care
Hospitals,46.23474447,-60.22220735,Long-Term & Chronic Care
Nursing and residential care facilities,44.3770737,-64.30247321,Long-Term & Chronic Care
Nursing and residential care facilities,46.10704016,-60.21381807,Long-Term & Chronic Care
Nursing and residential care facilities,44.920405,-62.53265876,Long-Term & Chronic Care
Nursing and residential care facilities,44.95050711,-65.06681003,Long-Term & Chronic Care
Nursing and residential care facilities,45.58562993,-62.6418534,Specialized Care & Support Services
Nursing and residential care facilities,45.58571686,-62.64514469,Specialized Care & Support Services
Nursing and residential care facilities,45.14081795,-61.98116323,Long-Term & Chronic Care
Nursing and residential care facilities,45.649513,-64.0493362,Long-Term & Chronic Care
Nursing and residential care facilities,45.6176844,-61.99047184,Specialized Care & Support Services
Nursing and residential care facilities,46.81096704,-60.32216494,Long-Term & Chronic Care
Nursing and residential care facilities,44.36887146,-64.52064795,Long-Term & Chronic Care
Nursing and residential care facilities,44.20916426,-64.86372431,Specialized Care & Support Services
Nursing and residential care facilities,46.22671368,-61.30384755,Long-Term & Chronic Care
Hospitals,46.226968,-61.304843,Acute Care & Hospitals
Nursing and residential care facilities,45.62311588,-62.6314136,Long-Term & Chronic Care
Nursing and residential care facilities,44.90232904,-63.71091493,Long-Term & Chronic Care
Nursing and residential care facilities,45.37554221,-63.25979318,Specialized Care & Support Services
Nursing and residential care facilities,44.58428314,-64.64425866,Specialized Care & Support Services
Nursing and residential care facilities,44.4477332,-64.3771694,Long-Term & Chronic Care
Nursing and residential care facilities,46.24071186,-60.08543333,Long-Term & Chronic Care
Nursing and residential care facilities,44.65374305,-63.64920759,Long-Term & Chronic Care
Nursing and residential care facilities,45.67329614,-62.72274498,Long-Term & Chronic Care
Nursing and residential care facilities,43.76568776,-65.32470646,Specialized Care & Support Services
Nursing and residential care facilities,44.63200392,-63.61463688,Long-Term & Chronic Care
Nursing and residential care facilities,44.62956069,-63.61525121,Long-Term & Chronic Care
Nursing and residential care facilities,45.40211233,-61.50709367,Long-Term & Chronic Care
Nursing and residential care facilities,46.23959752,-60.21829662,Long-Term & Chronic Care
Nursing and residential care facilities,45.08188105,-63.64660355,Specialized Care & Support Services
Nursing and residential care facilities,44.84888674,-65.29260802,Long-Term & Chronic Care
Nursing and residential care facilities,45.03997373,-63.13996247,Long-Term & Chronic Care
Nursing and residential care facilities,46.20477157,-60.26941415,Specialized Care & Support Services
Nursing and residential care facilities,46.11836193,-60.22143907,Specialized Care & Support Services
Nursing and residential care facilities,43.79122868,-65.86173664,Long-Term & Chronic Care
Nursing and residential care facilities,45.03433004,-64.72327232,Specialized Care & Support Services
Nursing and residential care facilities,44.37646364,-65.0148132,Long-Term & Chronic Care
Nursing and residential care facilities,46.19500767,-60.26263014,Long-Term & Chronic Care
Nursing and residential care facilities,52.467744,-114.04616,Long-Term & Chronic Care
Nursing and residential care facilities,45.82921455,-64.18958683,Long-Term & Chronic Care
Nursing and residential care facilities,44.72371655,-63.70626578,Long-Term & Chronic Care
Nursing and residential care facilities,44.65718076,-63.59204668,Long-Term & Chronic Care
Nursing and residential care facilities,44.65352971,-63.54451843,Long-Term & Chronic Care
Nursing and residential care facilities,44.60672388,-63.47021578,Long-Term & Chronic Care
Nursing and residential care facilities,43.848349,-66.127733,Specialized Care & Support Services
Nursing and residential care facilities,45.07927263,-64.50264685,Long-Term & Chronic Care
Nursing and residential care facilities,44.66338256,-63.67207336,Long-Term & Chronic Care
Nursing and residential care facilities,44.25792189,-64.41615526,Specialized Care & Support Services
Nursing and residential care facilities,44.66905884,-63.65842992,Specialized Care & Support Services
Nursing and residential care facilities,43.63821368,-65.80187492,Specialized Care & Support Services
Nursing and residential care facilities,45.619351,-61.3537771,Long-Term & Chronic Care
Nursing and residential care facilities,44.69066361,-63.53563314,Specialized Care & Support Services
Nursing and residential care facilities,44.69142556,-63.53708654,Specialized Care & Support Services
Nursing and residential care facilities,44.65001241,-63.65366567,Specialized Care & Support Services
Nursing and residential care facilities,44.03617567,-64.70679145,Long-Term & Chronic Care
Nursing and residential care facilities,46.12356627,-60.19425513,Long-Term & Chronic Care
Nursing and residential care facilities,45.65842332,-60.87480584,Long-Term & Chronic Care
Nursing and residential care facilities,45.62516431,-61.99132033,Long-Term & Chronic Care
Nursing and residential care facilities,44.53721096,-64.71115891,Long-Term & Chronic Care
Nursing and residential care facilities,43.74876507,-65.30896095,Long-Term & Chronic Care
Nursing and residential care facilities,44.38345744,-64.50550609,Long-Term & Chronic Care
Nursing and residential care facilities,44.64791631,-63.59419064,Long-Term & Chronic Care
Nursing and residential care facilities,44.84085709,-65.28885285,Specialized Care & Support Services
Nursing and residential care facilities,44.62317275,-63.92622043,Specialized Care & Support Services
Nursing and residential care facilities,46.18448967,-59.93643857,Long-Term & Chronic Care
Nursing and residential care facilities,44.95087375,-63.53505955,Specialized Care & Support Services
Nursing and residential care facilities,45.67775737,-62.7295376,Long-Term & Chronic Care
Nursing and residential care facilities,44.54485891,-64.23220467,Long-Term & Chronic Care
Nursing and residential care facilities,45.63114048,-61.98085488,Long-Term & Chronic Care
Hospitals,44.882577,-65.156992,Acute Care & Hospitals
Nursing and residential care facilities,46.1862368,-60.19756978,Specialized Care & Support Services
Nursing and residential care facilities,45.51104211,-61.03191108,Long-Term & Chronic Care
Nursing and residential care facilities,44.63301289,-63.62351235,Specialized Care & Support Services
Nursing and residential care facilities,43.70157259,-65.11747788,Long-Term & Chronic Care
Nursing and residential care facilities,46.19945045,-59.9776869,Long-Term & Chronic Care
Nursing and residential care facilities,46.21820836,-60.23555151,Long-Term & Chronic Care
Nursing and residential care facilities,44.68431853,-63.54545574,Long-Term & Chronic Care
Nursing and residential care facilities,44.78303535,-63.15833345,Long-Term & Chronic Care
Nursing and residential care facilities,46.12106735,-60.19770963,Long-Term & Chronic Care
Hospitals,44.7213432,-63.5916342,Mental Health & Rehabilitation
Nursing and residential care facilities,46.01450107,-61.52808448,Specialized Care & Support Services
Nursing and residential care facilities,44.95132751,-63.52747659,Long-Term & Chronic Care
Nursing and residential care facilities,43.85050874,-66.1030679,Long-Term & Chronic Care
Nursing and residential care facilities,45.34816341,-63.27478112,Long-Term & Chronic Care
Hospitals,44.6510535,-63.5490045,Mental Health & Rehabilitation
Nursing and residential care facilities,44.76140286,-63.65201397,Long-Term & Chronic Care
Nursing and residential care facilities,44.97704128,-64.96906184,Specialized Care & Support Services
Nursing and residential care facilities,44.60922277,-65.76329329,Long-Term & Chronic Care
Nursing and residential care facilities,45.33779325,-63.30136407,Specialized Care & Support Services
Hospitals,44.783235,-63.158434,Long-Term & Chronic Care
Nursing and residential care facilities,45.53959114,-62.667273,Long-Term & Chronic Care
Hospitals,46.100264,-60.756029,Acute Care & Hospitals
Nursing and residential care facilities,46.21158569,-59.96484069,Long-Term & Chronic Care
Nursing and residential care facilities,45.82972917,-64.21463348,Specialized Care & Support Services
Nursing and residential care facilities,44.99277128,-64.13321305,Specialized Care & Support Services
Nursing and residential care facilities,44.19370413,-66.15414223,Long-Term & Chronic Care
Nursing and residential care facilities,43.8692446,-66.11164311,Long-Term & Chronic Care
Nursing and residential care facilities,45.3793295,-63.2606517,Long-Term & Chronic Care
Nursing and residential care facilities,45.07685084,-64.49156123,Specialized Care & Support Services
Nursing and residential care facilities,45.84141239,-64.17934846,Specialized Care & Support Services
Nursing and residential care facilities,44.744604,-63.805761,Long-Term & Chronic Care
Nursing and residential care facilities,45.71116398,-63.29718836,Long-Term & Chronic Care
Nursing and residential care facilities,45.088376,-63.40760294,Specialized Care & Support Services
Nursing and residential care facilities,44.99494045,-64.17090584,Long-Term & Chronic Care
Nursing and residential care facilities,45.0868507,-64.3790725,Specialized Care & Support Services
Nursing and residential care facilities,45.08978053,-64.37227286,Long-Term & Chronic Care
Nursing and residential care facilities,45.35569122,-63.30189093,Long-Term & Chronic Care
Nursing and residential care facilities,43.7628942,-79.45410882,Specialized Care & Support Services
Nursing and residential care facilities,48.48675977,-89.321521,Mental Health & Rehabilitation
Nursing and residential care facilities,45.31639206,-75.09025213,Specialized Care & Support Services
Nursing and residential care facilities,43.78366142,-79.20760054,Specialized Care & Support Services
Nursing and residential care facilities,43.79773372,-79.11423721,Specialized Care & Support Services
Nursing and residential care facilities,43.25164109,-79.89294681,Specialized Care & Support Services
Nursing and residential care facilities,43.23895509,-79.80581978,Specialized Care & Support Services
Ambulatory health care services,43.65757158,-79.40343899,Community & Primary Care
Nursing and residential care facilities,43.7589948,-79.51880674,Mental Health & Rehabilitation
Nursing and residential care facilities,44.31951895,-78.3207549,Specialized Care & Support Services
Nursing and residential care facilities,44.47618644,-76.98939748,Specialized Care & Support Services
Nursing and residential care facilities,44.22905481,-76.4840666,Mental Health & Rehabilitation
Ambulatory health care services,43.85908432,-79.31460658,Mental Health & Rehabilitation
Ambulatory health care services,42.77959605,-81.19344148,Mental Health & Rehabilitation
Nursing and residential care facilities,44.50567572,-77.47198554,Mental Health & Rehabilitation
Nursing and residential care facilities,44.34636004,-78.74439154,Specialized Care & Support Services
Nursing and residential care facilities,43.58781597,-79.53873663,Specialized Care & Support Services
Nursing and residential care facilities,43.7703728,-79.44469031,Specialized Care & Support Services
Nursing and residential care facilities,42.97632532,-82.36144406,Long-Term & Chronic Care
Ambulatory health care services,45.43172166,-75.66769193,Community & Primary Care
Nursing and residential care facilities,42.88016952,-82.14880159,Specialized Care & Support Services
Nursing and residential care facilities,43.15187669,-79.47659767,Long-Term & Chronic Care
Nursing and residential care facilities,44.05368825,-79.45268034,Specialized Care & Support Services
Nursing and residential care facilities,43.34234541,-79.90081952,Long-Term & Chronic Care
Hospitals,43.73584389,-81.69832412,Mental Health & Rehabilitation
Nursing and residential care facilities,43.76371901,-79.28864066,Specialized Care & Support Services
Hospitals,46.5215406,-84.31783225,Mental Health & Rehabilitation
Ambulatory health care services,46.5338405,-84.30918975,Community & Primary Care
Ambulatory health care services,46.18549773,-82.95352888,Mental Health & Rehabilitation
Ambulatory health care services,46.5323816,-84.31484105,Community & Primary Care
Nursing and residential care facilities,46.5164072,-84.33883146,Mental Health & Rehabilitation
Nursing and residential care facilities,46.31349257,-78.71984132,Long-Term & Chronic Care
Nursing and residential care facilities,43.51655054,-79.87240973,Long-Term & Chronic Care
Ambulatory health care services,44.15381495,-79.87046948,Community & Primary Care
Nursing and residential care facilities,45.2188403,-76.19075728,Long-Term & Chronic Care
Nursing and residential care facilities,48.44347166,-89.25623467,Mental Health & Rehabilitation
Nursing and residential care facilities,43.67333379,-79.35586548,Mental Health & Rehabilitation
Nursing and residential care facilities,45.40349445,-75.63938942,Specialized Care & Support Services
Nursing and residential care facilities,43.79854962,-79.14005432,Long-Term & Chronic Care
Nursing and residential care facilities,43.15713846,-80.27468682,Specialized Care & Support Services
Nursing and residential care facilities,45.34295944,-75.63716051,Specialized Care & Support Services
Ambulatory health care services,45.42991766,-75.67444133,Mental Health & Rehabilitation
Ambulatory health care services,42.08735643,-83.10897921,Community & Primary Care
Nursing and residential care facilities,44.4162674,-79.66788724,Specialized Care & Support Services
Nursing and residential care facilities,43.766395,-79.38399909,Specialized Care & Support Services
Nursing and residential care facilities,43.76720841,-79.38241549,Specialized Care & Support Services
Nursing and residential care facilities,43.67006457,-79.7398157,Specialized Care & Support Services
Nursing and residential care facilities,43.58723066,-79.64714336,Specialized Care & Support Services
Nursing and residential care facilities,43.26447919,-79.95503403,Specialized Care & Support Services
Nursing and residential care facilities,43.54959005,-79.71614718,Specialized Care & Support Services
Nursing and residential care facilities,43.02024838,-81.30637654,Specialized Care & Support Services
Nursing and residential care facilities,44.05501705,-79.43496524,Specialized Care & Support Services
Nursing and residential care facilities,43.39473282,-79.71469797,Specialized Care & Support Services
Nursing and residential care facilities,43.21755269,-79.74812356,Specialized Care & Support Services
Nursing and residential care facilities,43.89526623,-79.25243066,Specialized Care & Support Services
Nursing and residential care facilities,43.68422839,-79.40018149,Specialized Care & Support Services
Nursing and residential care facilities,43.79438891,-79.43905361,Specialized Care & Support Services
Nursing and residential care facilities,43.85638152,-79.31000908,Specialized Care & Support Services
Nursing and residential care facilities,45.38886545,-75.76081176,Specialized Care & Support Services
Nursing and residential care facilities,43.90290315,-78.94221856,Specialized Care & Support Services
Nursing and residential care facilities,42.32797968,-82.97918309,Specialized Care & Support Services
Nursing and residential care facilities,43.6146704,-81.5405969,Specialized Care & Support Services
Nursing and residential care facilities,43.15948841,-79.20817339,Specialized Care & Support Services
Ambulatory health care services,43.68166709,-79.4184381,Mental Health & Rehabilitation
Ambulatory health care services,43.65422059,-79.36981238,Community & Primary Care
Ambulatory health care services,48.38439656,-89.24912166,Community & Primary Care
Ambulatory health care services,43.70972309,-79.39930509,Community & Primary Care
Nursing and residential care facilities,42.96738873,-80.04801284,Long-Term & Chronic Care
Nursing and residential care facilities,43.36821872,-79.75569998,Specialized Care & Support Services
Nursing and residential care facilities,44.04358743,-77.72759309,Specialized Care & Support Services
Nursing and residential care facilities,44.27854324,-78.36214781,Specialized Care & Support Services
Nursing and residential care facilities,42.96298198,-81.17483989,Specialized Care & Support Services
Nursing and residential care facilities,43.22141329,-79.77670807,Long-Term & Chronic Care
Nursing and residential care facilities,44.23937071,-76.55865852,Long-Term & Chronic Care
Nursing and residential care facilities,42.90986347,-78.91451317,Mental Health & Rehabilitation
Ambulatory health care services,45.44144283,-76.35297456,Community & Primary Care
Nursing and residential care facilities,45.42438943,-76.36493626,Specialized Care & Support Services
Nursing and residential care facilities,43.83209692,-79.23443505,Specialized Care & Support Services
Nursing and residential care facilities,42.90973516,-81.28913502,Specialized Care & Support Services
Ambulatory health care services,48.75379034,-91.60071464,Community & Primary Care
Hospitals,48.754155,-91.597609,Long-Term & Chronic Care
Nursing and residential care facilities,43.67800329,-79.30274076,Specialized Care & Support Services
Nursing and residential care facilities,44.60949175,-79.43333849,Specialized Care & Support Services
Nursing and residential care facilities,46.37203452,-79.92058532,Long-Term & Chronic Care
Nursing and residential care facilities,45.55953881,-74.87851758,Specialized Care & Support Services
Nursing and residential care facilities,42.03996314,-82.73671029,Specialized Care & Support Services
Ambulatory health care services,44.06057705,-79.45637234,Community & Primary Care
Nursing and residential care facilities,43.9169995,-80.11650514,Long-Term & Chronic Care
Ambulatory health care services,43.25556639,-79.8696957,Mental Health & Rehabilitation
Nursing and residential care facilities,42.77286835,-80.97801581,Specialized Care & Support Services
Nursing and residential care facilities,42.6583997,-81.75796234,Long-Term & Chronic Care
Nursing and residential care facilities,44.50769829,-80.23972254,Specialized Care & Support Services
Ambulatory health care services,45.0555315,-77.84916191,Community & Primary Care
Nursing and residential care facilities,42.31060008,-82.89979807,Long-Term & Chronic Care
Ambulatory health care services,43.65588248,-79.40919499,Mental Health & Rehabilitation
Nursing and residential care facilities,43.59297082,-80.57796106,Long-Term & Chronic Care
Nursing and residential care facilities,45.27769903,-75.74225964,Specialized Care & Support Services
Ambulatory health care services,44.34808359,-79.68029584,Community & Primary Care
Ambulatory health care services,44.390288,-79.69138875,Specialized Care & Support Services
Nursing and residential care facilities,44.3979773,-79.65571934,Specialized Care & Support Services
Nursing and residential care facilities,43.20948778,-79.8796767,Specialized Care & Support Services
Nursing and residential care facilities,44.49946329,-80.19803202,Long-Term & Chronic Care
Nursing and residential care facilities,43.82847003,-79.0771309,Long-Term & Chronic Care
Nursing and residential care facilities,43.7305734,-79.433654,Long-Term & Chronic Care
Nursing and residential care facilities,44.77457015,-79.93728776,Specialized Care & Support Services
Nursing and residential care facilities,45.01874519,-75.65323739,Long-Term & Chronic Care
Nursing and residential care facilities,44.75224116,-79.70792729,Specialized Care & Support Services
Nursing and residential care facilities,43.25176169,-79.8569424,Long-Term & Chronic Care
Nursing and residential care facilities,43.67733999,-79.30233976,Specialized Care & Support Services
Nursing and residential care facilities,45.45085876,-75.5870252,Specialized Care & Support Services
Ambulatory health care services,43.16419089,-79.47463457,Community & Primary Care
Nursing and residential care facilities,45.43259036,-75.56384389,Specialized Care & Support Services
Nursing and residential care facilities,42.6486067,-81.74992014,Specialized Care & Support Services
Nursing and residential care facilities,43.4562434,-80.54209083,Specialized Care & Support Services
Nursing and residential care facilities,43.05084229,-79.04543772,Long-Term & Chronic Care
Ambulatory health care services,44.16453286,-77.38436828,Community & Primary Care
Ambulatory health care services,44.1603606,-77.3979771,Specialized Care & Support Services
Nursing and residential care facilities,43.7195849,-79.36622688,Mental Health & Rehabilitation
Nursing and residential care facilities,43.67461349,-79.39106979,Specialized Care & Support Services
Nursing and residential care facilities,44.16007616,-77.40393509,Long-Term & Chronic Care
Nursing and residential care facilities,45.34272524,-80.03862375,Long-Term & Chronic Care
Nursing and residential care facilities,46.18232273,-82.94721488,Mental Health & Rehabilitation
Nursing and residential care facilities,43.75493801,-79.25183955,Long-Term & Chronic Care
Nursing and residential care facilities,43.64477486,-79.93394806,Long-Term & Chronic Care
Nursing and residential care facilities,42.31631637,-83.04161991,Long-Term & Chronic Care
Nursing and residential care facilities,43.26504409,-79.95507773,Specialized Care & Support Services
Nursing and residential care facilities,48.44135877,-89.24131667,Long-Term & Chronic Care
Nursing and residential care facilities,42.98864051,-80.59258351,Specialized Care & Support Services
Nursing and residential care facilities,43.86204073,-79.30139068,Long-Term & Chronic Care
Nursing and residential care facilities,43.915362,-80.10123464,Specialized Care & Support Services
Nursing and residential care facilities,43.80182762,-79.26619476,Specialized Care & Support Services
Nursing and residential care facilities,43.65162918,-79.4347012,Specialized Care & Support Services
Nursing and residential care facilities,43.36439192,-79.78777539,Long-Term & Chronic Care
Nursing and residential care facilities,45.38338775,-75.67274113,Specialized Care & Support Services
Nursing and residential care facilities,45.38492745,-75.67327503,Specialized Care & Support Services
Nursing and residential care facilities,44.61976735,-79.41392188,Specialized Care & Support Services
Nursing and residential care facilities,49.76559284,-94.504978,Long-Term & Chronic Care
Nursing and residential care facilities,43.79197732,-79.13066792,Specialized Care & Support Services
Nursing and residential care facilities,43.50029384,-79.86709342,Specialized Care & Support Services
Nursing and residential care facilities,43.98529868,-80.73344194,Specialized Care & Support Services
Ambulatory health care services,43.72178469,-79.51168893,Mental Health & Rehabilitation
Nursing and residential care facilities,43.26120069,-79.96830854,Long-Term & Chronic Care
Nursing and residential care facilities,43.26134859,-79.96827634,Specialized Care & Support Services
Nursing and residential care facilities,45.43604286,-75.54856219,Specialized Care & Support Services
Nursing and residential care facilities,42.33971663,-81.98799919,Specialized Care & Support Services
Nursing and residential care facilities,44.00278365,-79.26290138,Long-Term & Chronic Care
Nursing and residential care facilities,44.42198169,-80.08361758,Specialized Care & Support Services
Ambulatory health care services,46.32156633,-79.46831247,Community & Primary Care
Ambulatory health care services,43.42100354,-81.62496147,Community & Primary Care
Hospitals,42.87826,-82.147367,Acute Care & Hospitals
Nursing and residential care facilities,44.3641363,-79.62310322,Long-Term & Chronic Care
Nursing and residential care facilities,42.66709281,-81.51387127,Long-Term & Chronic Care
Nursing and residential care facilities,45.48345932,-76.70256458,Long-Term & Chronic Care
Nursing and residential care facilities,43.62599437,-79.60046495,Specialized Care & Support Services
Nursing and residential care facilities,43.91037416,-78.68822688,Specialized Care & Support Services
Nursing and residential care facilities,44.09967975,-79.57244678,Long-Term & Chronic Care
Nursing and residential care facilities,43.68566339,-79.40066839,Specialized Care & Support Services
Nursing and residential care facilities,43.90065854,-81.30031372,Long-Term & Chronic Care
Ambulatory health care services,43.72807748,-79.7120768,Community & Primary Care
Nursing and residential care facilities,43.71669058,-79.7250052,Specialized Care & Support Services
Nursing and residential care facilities,43.2045736,-80.3870839,Long-Term & Chronic Care
Ambulatory health care services,43.64322438,-79.4311146,Mental Health & Rehabilitation
Nursing and residential care facilities,43.4339767,-80.4446075,Specialized Care & Support Services
Nursing and residential care facilities,44.21822341,-76.65431965,Specialized Care & Support Services
Ambulatory health care services,43.66699229,-79.35364348,Community & Primary Care
Nursing and residential care facilities,43.6658334,-79.355147,Long-Term & Chronic Care
Ambulatory health care services,42.90410417,-78.97151339,Specialized Care & Support Services
Nursing and residential care facilities,44.61785752,-75.70286837,Specialized Care & Support Services
Nursing and residential care facilities,45.27421082,-75.86090248,Specialized Care & Support Services
Nursing and residential care facilities,43.17853986,-80.24747732,Long-Term & Chronic Care
Nursing and residential care facilities,44.88786035,-76.0208378,Long-Term & Chronic Care
Ambulatory health care services,44.4268626,-79.1419982,Community & Primary Care
Ambulatory health care services,44.12202678,-81.15303929,Community & Primary Care
Ambulatory health care services,44.59152691,-75.68079546,Mental Health & Rehabilitation
Hospitals,44.59203591,-75.68319296,Acute Care & Hospitals
Nursing and residential care facilities,44.48989086,-76.48143042,Specialized Care & Support Services
Nursing and residential care facilities,43.89785833,-79.41245401,Specialized Care & Support Services
Nursing and residential care facilities,42.95519614,-81.88315661,Specialized Care & Support Services
Nursing and residential care facilities,42.3064019,-82.8920717,Long-Term & Chronic Care
Nursing and residential care facilities,43.08867,-80.310606,Specialized Care & Support Services
Nursing and residential care facilities,44.12121858,-81.15427199,Long-Term & Chronic Care
Nursing and residential care facilities,45.413491,-75.708815,Long-Term & Chronic Care
Nursing and residential care facilities,43.97081455,-79.24840007,Specialized Care & Support Services
Ambulatory health care services,42.30045197,-83.0275405,Mental Health & Rehabilitation
Ambulatory health care services,45.6167198,-79.4046789,Community & Primary Care
Ambulatory health care services,43.31523311,-79.80179169,Community & Primary Care
Nursing and residential care facilities,43.38147032,-79.73937757,Long-Term & Chronic Care
Nursing and residential care facilities,44.28480207,-77.84842135,Long-Term & Chronic Care
Nursing and residential care facilities,43.66143557,-79.77341911,Long-Term & Chronic Care
Nursing and residential care facilities,44.10422028,-79.13997995,Specialized Care & Support Services
Nursing and residential care facilities,43.3099325,-79.86719201,Long-Term & Chronic Care
Nursing and residential care facilities,43.4552726,-80.3577529,Long-Term & Chronic Care
Nursing and residential care facilities,43.57311436,-79.60700205,Long-Term & Chronic Care
Nursing and residential care facilities,45.43271076,-75.61778811,Specialized Care & Support Services
Ambulatory health care services,44.16796597,-77.35377838,Mental Health & Rehabilitation
Ambulatory health care services,43.14027205,-80.26767882,Mental Health & Rehabilitation
Ambulatory health care services,45.30852406,-75.08405313,Mental Health & Rehabilitation
Ambulatory health care services,47.50822641,-79.67051436,Mental Health & Rehabilitation
