source_facility_type,odhf_facility_type,latitude,longitude
,Nursing and residential care facilities,48.4619202,-123.3364271
,Nursing and residential care facilities,48.419041,-123.5341518
,Nursing and residential care facilities,49.33396,-123.045
,Nursing and residential care facilities,49.340396,-123.0310686
,Ambulatory health care services,49.33592,-123.0412
,Nursing and residential care facilities,50.6919774,-119.340954
general,Hospitals,51.4698073,-112.7259344
,Nursing and residential care facilities,49.0475442,-122.3144389
general,Hospitals,55.3375782,-123.100648
,Nursing and residential care facilities,49.3426871,-123.034142
,Nursing and residential care facilities,49.1082447,-122.6494693
,Nursing and residential care facilities,49.3242484,-123.0538386
,Nursing and residential care facilities,49.173073,-119.5552406
,Nursing and residential care facilities,48.6249709,-123.4154788
,Nursing and residential care facilities,49.6786877,-124.9927014
,Ambulatory health care services,49.13988,-122.8432
,Ambulatory health care services,49.226057,-123.005725
active acute hospital,Hospitals,,
,Nursing and residential care facilities,49.2680766,-122.7578008
,Nursing and residential care facilities,49.101831,-122.6608587
,Nursing and residential care facilities,49.032664,-122.58322
,Ambulatory health care services,49.263854,-123.151159
,Nursing and residential care facilities,49.2245369,-122.5783552
,Nursing and residential care facilities,49.2193789,-122.6084592
,Nursing and residential care facilities,49.2137785,-122.6051618
,Nursing and residential care facilities,49.2711362,-124.8084067
,Nursing and residential care facilities,49.0366072,-122.3091484
other,Hospitals,,
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,48.7770977,-123.6935153
,Nursing and residential care facilities,48.793073,-123.72443
,Nursing and residential care facilities,48.5714564,-123.4513407
,Ambulatory health care services,49.210379,-123.11683
,Nursing and residential care facilities,48.478199,-123.41418
,Nursing and residential care facilities,49.8590963,-119.4391121
,Nursing and residential care facilities,49.034727,-119.4770583
,Nursing and residential care facilities,50.6588194,-120.3374527
,Nursing and residential care facilities,49.5249786,-115.7686075
general,Hospitals,53.59182,-116.407
,Nursing and residential care facilities,48.6401829,-123.4063757
general,Hospitals,54.0204495,-132.157076
,Ambulatory health care services,49.235586,-123.155556
,Nursing and residential care facilities,49.185127,-124.00326
,Nursing and residential care facilities,49.28324,-123.097
,Nursing and residential care facilities,49.039494,-122.2976893
,Nursing and residential care facilities,50.7625069,-120.3482057
general,Hospitals,53.3016398,-120.1608281
,Nursing and residential care facilities,50.7029457,-120.4107315
general,Hospitals,53.8969745,-110.9058049
,Nursing and residential care facilities,48.426921,-123.4064
,Nursing and residential care facilities,49.8396118,-119.3486466
,Nursing and residential care facilities,48.4151589,-123.3554095
psychiatric,Nursing and residential care facilities,49.508589,-117.267255
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.7107401,-124.9852203
,Ambulatory health care services,49.83547,-119.6209
,Nursing and residential care facilities,49.2279307,-122.635215
,Ambulatory health care services,49.883419,-119.493432
,Ambulatory health care services,49.16431,-123.9333
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.4749989,-123.7650971
,Ambulatory health care services,49.178089,-123.119861
,Nursing and residential care facilities,49.270557,-123.1681564
chronic care,Nursing and residential care facilities,49.0384349,-122.3117414
,Nursing and residential care facilities,49.03968,-122.311293
,Nursing and residential care facilities,49.2503872,-122.8702195
,Nursing and residential care facilities,49.032142,-122.684235
,Ambulatory health care services,49.132875,-122.892594
long term care,Nursing and residential care facilities,,
,Ambulatory health care services,49.249493,-123.100611
,Nursing and residential care facilities,50.236328,-119.237596
,Ambulatory health care services,55.757051,-120.222749
,Nursing and residential care facilities,49.9676849,-125.235307
,Nursing and residential care facilities,49.139108,-123.1151772
,Nursing and residential care facilities,49.0481178,-122.3077854
,Nursing and residential care facilities,49.220594,-122.935316
,Nursing and residential care facilities,48.448569,-123.3931465
general,Hospitals,54.510203,-128.596541
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,48.46396,-123.33049
,Nursing and residential care facilities,48.467004,-123.41149
,Nursing and residential care facilities,49.16897,-123.15
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.8715375,-119.4282439
,Ambulatory health care services,49.133002,-122.32574
,Ambulatory health care services,49.85784,-119.4897
extended care,Hospitals,49.1351173,-122.3326872
,Nursing and residential care facilities,50.2498936,-118.9617267
,Nursing and residential care facilities,49.2368532,-122.8392463
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.481517,-119.575713
,Nursing and residential care facilities,49.062332,-122.790069
,Ambulatory health care services,48.415738,-123.349207
,Ambulatory health care services,50.699561,-119.287604
,Nursing and residential care facilities,50.696003,-119.28418
,Nursing and residential care facilities,50.507667,-116.0282627
,Ambulatory health care services,49.311582,-123.024409
,Nursing and residential care facilities,49.3153534,-122.9773545
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
extended care,Nursing and residential care facilities,48.459924,-123.330454
,Nursing and residential care facilities,49.508215,-117.265992
,Nursing and residential care facilities,50.2325339,-119.2424448
,Nursing and residential care facilities,49.0955257,-122.0814539
,Nursing and residential care facilities,50.6892622,-121.9389613
,Nursing and residential care facilities,54.050267,-128.65618
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.206446,-124.02689
,Nursing and residential care facilities,50.977361,-118.191795
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,50.2628808,-119.2869228
,Nursing and residential care facilities,49.2400763,-122.8345635
,Ambulatory health care services,49.090915,-122.606243
,Nursing and residential care facilities,49.4684905,-119.5904134
,Nursing and residential care facilities,49.085552,-122.624304
,Nursing and residential care facilities,49.148604,-123.1746239
general,Hospitals,49.1849979,-123.969295
,Nursing and residential care facilities,49.236311,-124.03886
,Nursing and residential care facilities,49.3687958,-123.100531
,Nursing and residential care facilities,49.2215495,-123.0007978
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,53.9110183,-122.7663809
,Ambulatory health care services,53.91085,-122.7588
,Nursing and residential care facilities,49.2192139,-122.9945662
,Nursing and residential care facilities,49.5042319,-117.2789603
,Nursing and residential care facilities,49.4795674,-117.2989961
,Nursing and residential care facilities,49.8660534,-124.5253194
,Nursing and residential care facilities,49.2141609,-122.9810592
,Nursing and residential care facilities,49.2168933,-122.9478861
,Nursing and residential care facilities,49.177352,-122.856054
,Ambulatory health care services,49.224038,-122.690225
psychiatric,Hospitals,53.636387,-113.374023
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.224288,-122.945653
,Ambulatory health care services,49.117601,-122.845853
,Nursing and residential care facilities,49.0965714,-122.6436136
,Nursing and residential care facilities,49.3365841,-123.1026853
,Nursing and residential care facilities,49.6982341,-123.156384
,Nursing and residential care facilities,49.085938,-122.575843
,Nursing and residential care facilities,49.255787,-122.737523
general,Hospitals,50.121172,-120.772629
,Nursing and residential care facilities,48.4580708,-123.3729505
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,50.01196,-125.28051
,Nursing and residential care facilities,49.175215,-122.798434
,Nursing and residential care facilities,49.230356,-124.799
,Nursing and residential care facilities,49.1340512,-123.0926533
,Nursing and residential care facilities,49.8209862,-124.5182516
,Nursing and residential care facilities,50.251193,-119.282587
,Nursing and residential care facilities,48.500241,-123.39167
,Nursing and residential care facilities,49.2221124,-122.9276938
,Hospitals,49.713417,-124.970384
long term care,Nursing and residential care facilities,,
,Ambulatory health care services,49.237763,-124.051975
,Nursing and residential care facilities,50.261721,-119.281794
,Ambulatory health care services,50.28442,-119.2721
,Ambulatory health care services,56.247514,-120.839694
,Nursing and residential care facilities,49.32073,-123.065
,Nursing and residential care facilities,49.126442,-122.8911054
,Hospitals,54.020576,-132.157074
,Ambulatory health care services,52.83176,-119.2739
,Ambulatory health care services,49.323377,-123.106579
,Nursing and residential care facilities,49.3429472,-123.0767595
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,48.432936,-123.3138
,Ambulatory health care services,48.426478,-123.334374
,Nursing and residential care facilities,49.2283395,-122.9643356
,Ambulatory health care services,49.328678,-123.163856
,Nursing and residential care facilities,49.2356879,-124.0264813
,Ambulatory health care services,49.231407,-123.005129
,Nursing and residential care facilities,49.160448,-122.8245
,Nursing and residential care facilities,49.1953556,-122.7829494
,Nursing and residential care facilities,49.032257,-122.795417
,Nursing and residential care facilities,49.178018,-122.859968
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.2816658,-123.1012105
,Nursing and residential care facilities,48.441832,-123.33275
,Nursing and residential care facilities,49.204679,-119.833278
,Nursing and residential care facilities,49.2343627,-123.0070684
,Nursing and residential care facilities,49.8602539,-119.4853353
,Ambulatory health care services,49.877565,-119.443356
,Nursing and residential care facilities,49.372131,-123.361
,Nursing and residential care facilities,50.723292,-119.250892
,Nursing and residential care facilities,50.7750076,-120.3438216
,Nursing and residential care facilities,50.715316,-120.46172
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.22078,-124.03124
,Nursing and residential care facilities,48.4482137,-123.3959333
,Nursing and residential care facilities,50.7091406,-120.3889523
,Nursing and residential care facilities,49.0572496,-122.3230039
,Nursing and residential care facilities,49.0785912,-122.6586376
,Nursing and residential care facilities,53.893633,-122.78843
,Nursing and residential care facilities,49.057665,-122.3712483
,Nursing and residential care facilities,49.3323066,-123.0257809
,Nursing and residential care facilities,49.2407212,-123.0993326
long term care,Nursing and residential care facilities,,
other,Ambulatory health care services,,
,Nursing and residential care facilities,48.9966463,-123.8287358
,Nursing and residential care facilities,49.8667968,-119.4877827
,Ambulatory health care services,49.2286,-123.090632
,Nursing and residential care facilities,49.1262975,-121.9500919
,Nursing and residential care facilities,49.2607112,-123.0684104
,Nursing and residential care facilities,48.4613659,-123.4394017
,Nursing and residential care facilities,49.3267725,-123.0811369
,Nursing and residential care facilities,49.336714,-123.198295
,Nursing and residential care facilities,48.477019,-123.39917
,Ambulatory health care services,49.10554,-122.8027
general,Hospitals,56.0709656,-118.3845521
,Ambulatory health care services,49.308678,-123.04047
,Nursing and residential care facilities,49.1872754,-119.5418863
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
,Ambulatory health care services,49.18167,-123.1347
,Nursing and residential care facilities,49.1635267,-122.7846172
,Nursing and residential care facilities,48.4762964,-123.3286197
,Nursing and residential care facilities,53.917385,-122.7952
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.1161555,-122.8849992
,Nursing and residential care facilities,50.5466217,-119.1407493
,Ambulatory health care services,48.441396,-123.504347
,Nursing and residential care facilities,48.4441795,-123.3338227
,Nursing and residential care facilities,48.4935158,-123.3925704
,Nursing and residential care facilities,49.1042087,-122.6955133
,Nursing and residential care facilities,48.5967597,-123.4153745
extended care,Hospitals,49.029968,-122.792231
other,Ambulatory health care services,,
general,Hospitals,51.0642833,-114.1339478
,Nursing and residential care facilities,49.031282,-122.7945296
,Nursing and residential care facilities,56.256732,-120.81792
,Ambulatory health care services,49.472813,-119.583878
,Nursing and residential care facilities,49.0177352,-122.4065114
,Nursing and residential care facilities,48.4417088,-123.3327607
,Ambulatory health care services,49.32489,-123.1098
,Nursing and residential care facilities,49.279942,-123.052
,Nursing and residential care facilities,49.1448543,-123.1772907
general,Hospitals,49.726332,-113.3932472
,Ambulatory health care services,49.045582,-122.796387
general,Hospitals,49.4812182,-119.577927
,Nursing and residential care facilities,48.777064,-123.70945
,Nursing and residential care facilities,49.341873,-123.0222214
,Nursing and residential care facilities,49.1745124,-122.8437601
,Nursing and residential care facilities,50.6693527,-120.3363635
,Nursing and residential care facilities,50.6929509,-119.2955552
,Nursing and residential care facilities,48.4425235,-123.342568
,Nursing and residential care facilities,49.839286,-119.59551
,Nursing and residential care facilities,50.6874166,-120.3509428
,Hospitals,56.7176831,-111.3618006
,Nursing and residential care facilities,49.1867925,-123.0984471
,Nursing and residential care facilities,49.2953317,-122.7795583
,Nursing and residential care facilities,49.2273382,-122.8881385
,Ambulatory health care services,49.297014,-122.803349
active acute hospital,Hospitals,,
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.13839,-122.331857
,Nursing and residential care facilities,49.3147181,-122.9920303
,Ambulatory health care services,49.26383,-123.207511
long term care,Nursing and residential care facilities,,
,Hospitals,53.693159,-113.213229
,Nursing and residential care facilities,50.670828,-120.331933
long term care,Nursing and residential care facilities,,
general,Hospitals,50.4260087,-127.4878351
general,Hospitals,50.7200118,-127.502909
general,Hospitals,50.5806462,-127.0678577
,Nursing and residential care facilities,49.263972,-122.861325
,Nursing and residential care facilities,49.24003,-124.04648
general,Hospitals,49.8508263,-124.518391
general,Hospitals,53.7033208,-113.2225242
,Nursing and residential care facilities,49.597847,-119.68345
,Nursing and residential care facilities,48.424911,-123.50122
,Ambulatory health care services,49.218846,-122.951615
,Nursing and residential care facilities,49.0904225,-123.088506
,Nursing and residential care facilities,49.3290404,-117.6732208
general,Hospitals,53.9113826,-122.7644758
general,Hospitals,54.3044463,-130.331503
general,Hospitals,49.4540952,-120.526738
long term care,Nursing and residential care facilities,,
general,Hospitals,49.280516,-123.1281872
other,Ambulatory health care services,,
rehabilitation,Hospitals,49.212701,-123.07308
general,Hospitals,49.258002,-123.095299
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.527675,-115.7416049
,Ambulatory health care services,49.219791,-122.600013
,Ambulatory health care services,49.249473,-123.115216
,Nursing and residential care facilities,49.2408467,-122.8750597
general,Hospitals,54.4046429,-116.801403
,Ambulatory health care services,48.438086,-123.358897
,Nursing and residential care facilities,49.3449157,-124.4405245
,Nursing and residential care facilities,49.1990931,-124.0121423
rehabilitation,Hospitals,48.47151,-123.29954
general,Hospitals,53.254641,-132.072632
general,Hospitals,50.9768022,-118.1901401
active acute hospital,Hospitals,,
active acute hospital,Hospitals,,
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,53.905294,-122.75337
,Ambulatory health care services,49.973673,-125.245769
general,Hospitals,52.1612727,-128.143339
,Nursing and residential care facilities,52.9849646,-122.4493146
,Nursing and residential care facilities,53.9284291,-122.7936192
,Ambulatory health care services,49.128771,-122.89095
,Nursing and residential care facilities,49.2238303,-122.9332908
,Nursing and residential care facilities,49.1856298,-122.838137
,Nursing and residential care facilities,49.1956597,-122.4531146
,Nursing and residential care facilities,49.2239136,-122.9716122
,Nursing and residential care facilities,49.2653533,-122.8474036
,Nursing and residential care facilities,48.4223205,-123.3238702
,Nursing and residential care facilities,49.844051,-124.513203
,Nursing and residential care facilities,49.1444793,-122.3151715
,Nursing and residential care facilities,49.26786,-123.044
,Nursing and residential care facilities,49.254322,-123.0301071
,Nursing and residential care facilities,49.051717,-122.779794
,Nursing and residential care facilities,48.654974,-123.40484
other,Ambulatory health care services,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
other,Ambulatory health care services,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
rehabilitation,Hospitals,53.5601013,-113.4976534
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.1477141,-123.107216
,Ambulatory health care services,49.170249,-123.136592
general,Hospitals,49.1689707,-123.146577
,Nursing and residential care facilities,49.1492749,-123.1593858
,Ambulatory health care services,49.179216,-123.138509
long term care,Nursing and residential care facilities,,
general,Hospitals,53.8915173,-119.1192184
,Nursing and residential care facilities,49.1915171,-123.1251463
,Ambulatory health care services,49.22004,-122.6718
general,Hospitals,49.2161889,-122.63008
,Nursing and residential care facilities,50.7034312,-120.3931349
,Nursing and residential care facilities,49.45385,-120.527633
,Nursing and residential care facilities,49.9566759,-119.3620705
,Ambulatory health care services,50.036017,-125.248484
,Nursing and residential care facilities,50.752861,-120.347488
,Nursing and residential care facilities,49.2117379,-122.6403965
,Hospitals,55.175391,-118.788449
psychiatric,Hospitals,49.2508389,-122.806171
,Nursing and residential care facilities,49.031426,-118.441395
,Nursing and residential care facilities,49.1490998,-123.1303718
,Ambulatory health care services,49.278437,-123.115388
,Nursing and residential care facilities,49.4923849,-115.0666592
,Nursing and residential care facilities,49.4728988,-123.7649643
,Ambulatory health care services,49.601216,-119.677714
,Nursing and residential care facilities,49.0635552,-122.8006006
,Nursing and residential care facilities,49.480804,-117.299592
,Nursing and residential care facilities,49.2279271,-122.9379603
general,Hospitals,53.4615831,-113.4297243
,Nursing and residential care facilities,49.1551041,-123.1553156
,Nursing and residential care facilities,49.8922928,-119.4585279
,Nursing and residential care facilities,49.3362883,-123.0277681
,Nursing and residential care facilities,53.889563,-122.75596
,Nursing and residential care facilities,55.773403,-120.23466
,Nursing and residential care facilities,49.8231878,-119.4395524
,Nursing and residential care facilities,49.2135328,-123.0288043
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.2153153,-122.8951618
,Ambulatory health care services,49.225627,-122.892883
general,Hospitals,49.2264136,-122.8916374
general,Hospitals,50.6701949,-120.3345924
general,Hospitals,48.432719,-123.3279135
,Nursing and residential care facilities,48.4937596,-123.3852606
,Nursing and residential care facilities,49.124274,-122.565628
,Nursing and residential care facilities,48.793073,-123.72443
,Nursing and residential care facilities,55.7616196,-120.2179821
,Nursing and residential care facilities,49.27979,-123.105
,Nursing and residential care facilities,49.862878,-124.52162
general,Hospitals,48.5944724,-123.4105953
general,Hospitals,56.190388,-117.62725
,Ambulatory health care services,48.456348,-123.374168
,Ambulatory health care services,49.165841,-122.662404
,Nursing and residential care facilities,50.6712832,-120.3418283
,Ambulatory health care services,53.941923,-124.102601
,Nursing and residential care facilities,49.253089,-122.852693
,Ambulatory health care services,50.703316,-119.278208
,Nursing and residential care facilities,49.282434,-123.101
,Ambulatory health care services,53.887457,-122.769326
,Nursing and residential care facilities,48.4799073,-123.3166363
,Nursing and residential care facilities,50.758396,-120.348604
other,Ambulatory health care services,,
,Ambulatory health care services,53.243312,-131.817065
,Nursing and residential care facilities,49.2339431,-123.0029902
,Nursing and residential care facilities,49.2336902,-122.9968143
,Nursing and residential care facilities,49.8326712,-124.5216544
,Nursing and residential care facilities,54.523671,-128.60342
,Ambulatory health care services,49.73649,-123.1339
,Nursing and residential care facilities,48.5782057,-123.4142669
,Nursing and residential care facilities,50.7035685,-120.3710195
long term care,Nursing and residential care facilities,,
other,Ambulatory health care services,,
,Nursing and residential care facilities,48.441914,-123.37798
,Nursing and residential care facilities,48.441484,-123.37761
,Nursing and residential care facilities,48.6157359,-123.4302095
,Nursing and residential care facilities,55.756212,-120.23914
,Nursing and residential care facilities,49.1399655,-122.3137395
,Ambulatory health care services,49.26514,-123.1405
,Nursing and residential care facilities,49.1062445,-122.7308893
,Nursing and residential care facilities,49.2606033,-122.7799085
,Nursing and residential care facilities,49.2437599,-122.8877652
,Nursing and residential care facilities,49.2326234,-123.0949923
other,Ambulatory health care services,,
,Ambulatory health care services,48.448582,-123.333229
,Nursing and residential care facilities,48.4190982,-123.3248349
,Nursing and residential care facilities,49.2168451,-123.0055897
,Nursing and residential care facilities,49.3187921,-122.9593032
,Ambulatory health care services,48.647652,-123.401503
,Nursing and residential care facilities,49.474191,-123.765
long term care,Nursing and residential care facilities,,
general,Hospitals,50.7045612,-119.2743811
,Ambulatory health care services,50.694848,-119.318555
,Ambulatory health care services,50.836895,-118.98931
general,Hospitals,54.71724,-113.254056
general,Hospitals,51.6489192,-111.9282036
,Nursing and residential care facilities,49.2171669,-122.9932027
,Nursing and residential care facilities,48.6548435,-123.4053777
,Nursing and residential care facilities,48.6512125,-123.4010229
general,Hospitals,52.669316,-111.307616
,Nursing and residential care facilities,49.0246317,-118.4649688
,Nursing and residential care facilities,49.3176585,-117.6672009
,Nursing and residential care facilities,49.974941,-125.22347
,Ambulatory health care services,49.246217,-123.067617
,Ambulatory health care services,49.279476,-123.11935
,Nursing and residential care facilities,48.457102,-123.45992
,Nursing and residential care facilities,49.6877334,-125.0050414
,Nursing and residential care facilities,48.441317,-123.36022
,Nursing and residential care facilities,49.0377195,-122.3063657
,Nursing and residential care facilities,49.9842253,-117.3740924
other,Ambulatory health care services,,
,Nursing and residential care facilities,48.572695,-123.44301
,Nursing and residential care facilities,49.8996441,-119.4624632
,Nursing and residential care facilities,49.898764,-119.3828911
,Ambulatory health care services,49.27426,-122.7901
,Nursing and residential care facilities,49.2415748,-123.0982494
,Nursing and residential care facilities,50.6912155,-119.2028411
,Nursing and residential care facilities,49.259225,-123.142
psychiatric,Nursing and residential care facilities,50.7033639,-120.3941722
general,Hospitals,49.1836817,-119.5395697
general,Ambulatory health care services,49.2049837,-119.832334
general,Hospitals,55.431645,-116.454926
,Ambulatory health care services,49.048561,-122.783332
,Ambulatory health care services,49.20884,-123.0993
,Nursing and residential care facilities,49.1351705,-123.1195313
,Nursing and residential care facilities,49.0565309,-122.3563942
,Ambulatory health care services,49.882804,-119.453794
,Nursing and residential care facilities,50.2870774,-119.2508847
,Ambulatory health care services,49.266808,-123.004908
,Nursing and residential care facilities,49.885121,-119.416235
,Nursing and residential care facilities,50.6582015,-120.3602463
general,Hospitals,49.697911,-123.141176
,Nursing and residential care facilities,53.8601203,-122.7796175
,Nursing and residential care facilities,48.424174,-123.3394434
,Nursing and residential care facilities,49.25541,-123.247
general,Hospitals,54.0285333,-124.0107233
general,Hospitals,49.6744637,-124.9415684
,Nursing and residential care facilities,49.2468877,-123.1227326
general,Hospitals,49.4746186,-123.7496314
long term care,Nursing and residential care facilities,,
general,Hospitals,50.5751035,-113.8799478
,Nursing and residential care facilities,49.243305,-123.123212
,Nursing and residential care facilities,49.214793,-123.1112858
,Nursing and residential care facilities,48.8138192,-123.6628588
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.316749,-124.31121
,Nursing and residential care facilities,49.2468922,-123.0909955
,Ambulatory health care services,49.227868,-123.004463
,Nursing and residential care facilities,49.0253905,-122.7789675
,Ambulatory health care services,50.260402,-119.275113
,Ambulatory health care services,49.124465,-121.959141
,Nursing and residential care facilities,49.132846,-123.182
general,Hospitals,54.4414052,-124.242352
,Nursing and residential care facilities,54.028787,-124.00926
,Ambulatory health care services,49.104505,-122.798666
extended care,Ambulatory health care services,49.601398,-119.668653
,Nursing and residential care facilities,49.6000555,-119.6687918
,Ambulatory health care services,50.88453,-119.8904
general,Hospitals,53.398281,-117.58529
,Nursing and residential care facilities,49.8962631,-119.3878245
,Nursing and residential care facilities,49.1156408,-122.8450108
,Nursing and residential care facilities,49.0485655,-122.7977862
rehabilitation,Hospitals,49.2519743,-123.0482504
,Nursing and residential care facilities,49.187837,-119.5401017
,Nursing and residential care facilities,49.3326532,-123.0472914
,Nursing and residential care facilities,49.2195762,-123.1278011
,Nursing and residential care facilities,48.418885,-123.36082
,Nursing and residential care facilities,48.4418742,-123.3933671
other,Ambulatory health care services,,
,Nursing and residential care facilities,49.773664,-124.429
,Ambulatory health care services,49.274,-122.7944
general,Hospitals,49.1765946,-122.8417742
,Nursing and residential care facilities,49.0979123,-116.5153237
,Nursing and residential care facilities,49.0498845,-122.4532155
,Nursing and residential care facilities,49.047016,-122.338899
,Nursing and residential care facilities,48.4710736,-123.3908108
,Nursing and residential care facilities,49.3149693,-117.6614243
,Nursing and residential care facilities,49.103715,-122.554986
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,48.445491,-123.47428
,Nursing and residential care facilities,49.2442213,-123.0313165
,Nursing and residential care facilities,49.1440221,-122.2959622
,Ambulatory health care services,49.201215,-122.916095
,Nursing and residential care facilities,54.533333,-128.59334
,Nursing and residential care facilities,49.4739295,-117.291627
,Nursing and residential care facilities,48.777453,-123.69747
,Nursing and residential care facilities,49.317604,-123.058
,Ambulatory health care services,49.869856,-125.129046
long term care,Nursing and residential care facilities,,
other,Ambulatory health care services,,
general,Hospitals,52.019015,-113.9514399
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.160818,-121.9629698
,Nursing and residential care facilities,49.2075008,-122.8309787
,Nursing and residential care facilities,49.136447,-122.655987
,Nursing and residential care facilities,49.136456,-122.656232
long term care,Nursing and residential care facilities,,
,Ambulatory health care services,49.132924,-122.701348
,Nursing and residential care facilities,49.233638,-122.995372
,Ambulatory health care services,49.16583,-121.9626
,Ambulatory health care services,49.263577,-123.121538
,Nursing and residential care facilities,49.2061108,-122.8128281
,Nursing and residential care facilities,50.1246261,-120.7634019
,Nursing and residential care facilities,49.348341,-124.43764
,Nursing and residential care facilities,50.2642353,-119.2813015
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
long term care,Nursing and residential care facilities,,
,Nursing and residential care facilities,49.4840616,-119.5897419
,Nursing and residential care facilities,50.2628516,-119.2714963
